Field,Label,Value
id,Dataset ID,42db041f-7aaf-4ab4-961f-2a12096861e7
title,Title of Dataset,Nigeria - Food Prices
name,Dataset URL,wfp-food-prices-for-nigeria
notes,Description,"This dataset contains Food Prices data for Nigeria, sourced from the World Food Programme Price Database. The World Food Programme Price Database covers foods such as maize, rice, beans, fish, and sugar for 98 countries and some 3000 markets. It is updated weekly but contains to a large extent monthly data. The data goes back as far as 1992 for a few countries, although many countries started reporting from 2003 or thereafter."
dataset_source,Source,"FEWSNET via FAO: GIEWS, FPMA, Nigeria, SIMA - Niger, WFP"
organization,Contributor,WFP - World Food Programme
dataset_date,Reference Period,[2002-01-15T00:00:00 TO 2026-05-15T23:59:59]
last_modified,Updated,2026-07-19T16:51:53.381572
data_update_frequency,Expected Update Frequency,Every month
groups,Location,Nigeria
license_title,License,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO)
methodology,Methodology,Registry
methodology_other,Define Methodology,
caveats,Caveats/Comments,"Although the frequency of updates is set to every month, updates may occur more or less frequently"
tags,Tags,"economics, food security, indicators, markets"
resource_1_created,Created,2018-09-26T15:42:59.665539
resource_1_description,Description,Food prices data
resource_1_format,File Format,CSV
resource_1_download_url,Download URL,https://data.humdata.org/dataset/42db041f-7aaf-4ab4-961f-2a12096861e7/resource/12b51155-0cd3-4806-9924-61ede4077591/download/wfp_food_prices_nga.csv
resource_1_id,Resource ID,12b51155-0cd3-4806-9924-61ede4077591
resource_1_last_modified,Updated,2026-07-19T16:51:53.381572
resource_1_metadata_modified,Metadata Updated,2026-07-19T16:51:57.022869
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,42db041f-7aaf-4ab4-961f-2a12096861e7
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,Nigeria - Food Prices
resource_1_mimetype,MIME Type,
resource_1_size,Size,10.2M
resource_2_created,Created,2025-05-07T01:28:25.341473
resource_2_description,Description,Markets data
resource_2_format,File Format,CSV
resource_2_download_url,Download URL,https://data.humdata.org/dataset/42db041f-7aaf-4ab4-961f-2a12096861e7/resource/5329e772-0b74-4f65-8cc0-37a0915cc7e4/download/wfp_markets_nga.csv
resource_2_id,Resource ID,5329e772-0b74-4f65-8cc0-37a0915cc7e4
resource_2_last_modified,Updated,2026-02-18T23:41:46.117988
resource_2_metadata_modified,Metadata Updated,2026-02-18T23:41:49.899936
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,42db041f-7aaf-4ab4-961f-2a12096861e7
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,Nigeria - Markets
resource_2_mimetype,MIME Type,text/csv
resource_2_size,Size,5.2K
