date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
15/01/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,175.92,1.54
15/01/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Millet,73,KG,actual,Wholesale,NGN,150.18,1.31
15/01/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,358.7,3.14
15/01/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Sorghum,65,KG,actual,Wholesale,NGN,155.61,1.36
15/01/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,pulses and nuts,Beans (niebe),120,KG,actual,Wholesale,NGN,196.87,1.72
15/01/2002,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,153.35,1.34
15/01/2002,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Millet,73,KG,actual,Wholesale,NGN,146.95,1.29
15/01/2002,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,337.59,2.95
15/01/2002,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,cereals and tubers,Sorghum,65,KG,actual,Wholesale,NGN,141.5,1.24
15/01/2002,Sokoto,Gada,Illela (CBM),1037,13.64,5.28,pulses and nuts,Beans (niebe),120,KG,actual,Wholesale,NGN,239.07,2.09
15/02/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Maize,51,KG,actual,Wholesale,NGN,169.76,1.42
15/02/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Millet,73,KG,actual,Wholesale,NGN,148.54,1.24
15/02/2002,Katsina,Jibia,Jibia (CBM),1038,13.08,7.24,cereals and tubers,Rice (imported),64,KG,actual,Wholesale,NGN,381.97,3.19
