market_id,market,countryiso3,admin1,admin2,latitude,longitude
1037,Illela (CBM),NGA,Sokoto,Gada,13.64,5.28
1038,Jibia (CBM),NGA,Katsina,Jibia,13.08,7.24
1039,Mai Adoua (CBM),NGA,Katsina,Mai'Adua,13.18,8.23
1040,Damassack (CBM),NGA,Borno,Mobbar,13.01,12.56
1041,Mai Gatari (CBM),NGA,Jigawa,Maigatari,12.78,9.44
1967,Aba,NGA,Abia,Oboma Ngwa,5.15,7.36
1968,Biu,NGA,Borno,Biu,10.61,12.19
1969,Damaturu,NGA,Yobe,Damaturu,11.74,11.96
1970,Dandume,NGA,Katsina,Dandume,11.42,7.2
1971,Giwa,NGA,Kaduna,Giwa,11.28,7.42
1972,Gombe,NGA,Gombe,Akko,10.28,11.17
1973,Gujungu,NGA,Jigawa,Kaugama,12.36,9.58
1974,Gwandu,NGA,Kebbi,Gwandu,12.49,4.64
1975,Ibadan,NGA,Oyo,Ibadan North,7.4,3.92
1976,Dawanau,NGA,Kano,Dawakin Tofa,12.09,8.43
1977,Kaura Namoda,NGA,Zamfara,Kaura Namoda,12.6,6.59
1978,Lagos,NGA,Lagos,Kosofe,6.61,3.4
1979,Maiduguri,NGA,Borno,Maiduguri,11.83,13.15
1980,Mubi,NGA,Adamawa,Hong,10.27,13.26
1981,Potiskum,NGA,Yobe,Potiskum,11.71,11.08
1982,Saminaka,NGA,Kaduna,Lere,10.42,8.68
2384,Budum,NGA,Borno,Maiduguri,11.85,13.16
2385,Baga Road,NGA,Borno,Konduga,11.87,13.12
2386,Bullunkutu,NGA,Borno,Konduga,11.83,13.09
2387,Nguru,NGA,Yobe,Nguru,12.87,10.45
2388,Bade (Gashua),NGA,Yobe,Karasuwa,12.87,11.04
2389,Yusufari,NGA,Yobe,Yusufari,13.06,11.17
2390,Gujba (Buni Yadi),NGA,Yobe,Gujba,11.29,12
2391,Damaturu (Sunday Market),NGA,Yobe,Damaturu,11.74,11.96
2392,Yunusari,NGA,Yobe,Yunusari,13.15,11.54
2393,Geidam,NGA,Yobe,Geidam,12.89,11.92
2394,Abba Gamaram,NGA,Borno,Konduga,11.86,13.15
2395,Custom,NGA,Borno,Maiduguri,11.85,13.17
2396,Kusawam Shanu,NGA,Borno,Maiduguri,11.86,13.18
